Timestamp,State,Trial Number,Delay,Distance,Direction,P_x,P_y,P_z,O_x,O_y,O_z,O_w
1731299916.6695676,baseline,8,0,0.06,right,-3.039836883544922e-06,1.481175422668457e-05,-1.845136284828186e-05,0.5974001288414001,-0.3607144057750702,-0.3821973204612732,0.6057420372962952
1731299916.6901646,baseline,8,0,0.06,right,8.046627044677734e-06,-1.564621925354004e-05,-1.8194317817687988e-05,0.5973849296569824,-0.36070141196250916,-0.38220974802970886,0.605756938457489
1731299916.700543,baseline,8,0,0.06,right,-9.417533874511719e-06,-8.434057235717773e-06,-1.5221536159515381e-05,0.5973828434944153,-0.3607003390789032,-0.38221076130867004,0.6057589054107666
1731299916.7109036,baseline,8,0,0.06,right,1.1324882507324219e-05,-1.3113021850585938e-05,-8.67992639541626e-07,0.5973806977272034,-0.36070266366004944,-0.38220855593681335,0.6057610511779785
1731299916.7212803,baseline,8,0,0.06,right,8.046627044677734e-06,2.384185791015625e-05,3.128312528133392e-05,0.5973846912384033,-0.36071524024009705,-0.3821965754032135,0.6057571768760681
1731299916.7316427,baseline,8,0,0.06,right,9.119510650634766e-06,-1.4156103134155273e-05,-8.594244718551636e-06,0.5973833203315735,-0.36071738600730896,-0.38219451904296875,0.6057586073875427
1731299916.7419999,baseline,8,0,0.06,right,1.0967254638671875e-05,1.2814998626708984e-06,-4.254281520843506e-06,0.5973927974700928,-0.3607179820537567,-0.3821939527988434,0.6057491898536682
1731299916.7625794,baseline,8,0,0.06,right,-2.0265579223632812e-06,-3.2186508178710938e-06,-2.685561776161194e-05,0.5973902940750122,-0.3607132136821747,-0.38219860196113586,0.6057516932487488
1731299916.7729566,baseline,8,0,0.06,right,-2.682209014892578e-06,7.152557373046875e-07,-2.4722889065742493e-05,0.5973904132843018,-0.3607163429260254,-0.3821955621242523,0.6057515740394592
1731300061.5873206,baseline,9,0,0.06,diag,-1.474990463256836,5.990266799926758e-06,0.7500467989593744,0.6135995984077454,-0.3336218297481537,-0.3542923033237457,0.6218271255493164
1731300061.6080866,baseline,9,0,0.06,diag,-1.4750033378601075,2.0265579223632812e-06,0.750019358471036,0.6136025190353394,-0.333615243434906,-0.3542986810207367,0.6218240857124329
1731300061.6287384,baseline,9,0,0.06,diag,-1.4749900460243226,-4.202127456665039e-05,0.7500536683946848,0.6135971546173096,-0.333635151386261,-0.35427960753440857,0.621829628944397
1731300061.6493902,baseline,9,0,0.06,diag,-1.4749906420707704,8.821487426757812e-06,0.7500674426555634,0.6136028170585632,-0.33363157510757446,-0.35428306460380554,0.6218239068984985
1731300061.6699724,baseline,9,0,0.06,diag,-1.475,4.8220157623291016e-05,0.7500818371772766,0.6136168837547302,-0.3336336314678192,-0.35428109765052795,0.6218101382255554
1731300061.690678,baseline,9,0,0.06,diag,-1.474978542327881,-1.3500452041625977e-05,0.7500576227903366,0.6136180758476257,-0.33361902832984924,-0.35429519414901733,0.6218087077140808
1731300061.7113132,baseline,9,0,0.06,diag,-1.4749915957450868,-3.165006637573242e-05,0.7499734731391072,0.613610029220581,-0.3336106240749359,-0.35430312156677246,0.6218166351318359
1731300061.7318656,baseline,9,0,0.06,diag,-1.4750370740890504,2.637505531311035e-05,0.7499008346349001,0.6136091947555542,-0.33359843492507935,-0.35431498289108276,0.6218172311782837
1731300061.7524288,baseline,9,0,0.06,diag,-1.475004291534424,2.2113323211669922e-05,0.7500028098002076,0.6136205196380615,-0.33359596133232117,-0.3543175160884857,0.6218059659004211
1731300061.7730927,baseline,9,0,0.06,diag,-1.4749808669090272,2.753734588623047e-05,0.7500104624778032,0.6136171817779541,-0.33361196517944336,-0.3543020486831665,0.6218093633651733
1731300061.7940197,baseline,9,0,0.06,diag,-1.475004827976227,4.589557647705078e-05,0.7500158585608006,0.613630473613739,-0.3336220979690552,-0.3542923033237457,0.6217964291572571
1731300061.81497,baseline,9,0,0.06,diag,-1.4749915957450868,0.00010520219802856445,0.7500309655442834,0.6136317849159241,-0.3336363136768341,-0.3542785942554474,0.6217954158782959
1731300061.8254135,baseline,9,0,0.06,diag,-1.4750281929969788,7.635354995727539e-05,0.7498511113226414,0.6136327385902405,-0.33363983035087585,-0.3542751669883728,0.6217945218086243
1731300061.835789,baseline,9,0,0.06,diag,-1.475004291534424,-6.949901580810547e-05,0.7499665385112166,0.6136353015899658,-0.33364081382751465,-0.3542742431163788,0.6217920184135437
1731300061.856378,baseline,9,0,0.06,diag,-1.4749859929084779,3.4749507904052734e-05,0.7499488890171051,0.6136227250099182,-0.33363285660743713,-0.3542819321155548,0.6218042969703674
1731300061.8667047,baseline,9,0,0.06,diag,-1.4750137090682984,-3.451108932495117e-05,0.7499856483191252,0.6136173009872437,-0.333618700504303,-0.35429543256759644,0.6218095421791077
1731300061.8770187,baseline,9,0,0.06,diag,-1.4749942779541017,-1.379847526550293e-05,0.7499084062874317,0.6136162281036377,-0.33362072706222534,-0.35429343581199646,0.6218105554580688
1731300061.888471,baseline,9,0,0.06,diag,-1.4750134110450746,4.988908767700195e-05,0.7499459143728018,0.6136103272438049,-0.3336229622364044,-0.35429129004478455,0.6218164563179016
1731300061.909083,baseline,9,0,0.06,diag,-1.4749958872795106,-1.1444091796875e-05,0.7500089583918452,0.6136089563369751,-0.33361589908599854,-0.35429808497428894,0.6218177080154419
