Timestamp,State,Trial Number,Phase,Delay,Distance,Direction,P_x,P_y,P_z,O_x,O_y,O_z,O_w
1737325494.7962892,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.8172882,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.8384087,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.8590932,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.8798826,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.9011152,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.922317,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.9435399,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.9643185,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325494.9853377,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.0063996,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.0280035,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.049096,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.0700932,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.0910342,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.1121454,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.1336222,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.154475,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.1757545,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.196685,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.217838,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.2388487,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.2597702,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.2809818,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.3022056,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.3236527,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.3446336,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.3653624,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.386089,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.4068182,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.4287953,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.4498973,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.47072,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.4918997,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.5129447,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.5336528,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.554405,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.5751789,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.5959704,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.616908,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.6376734,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.6584632,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.6801016,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.7009664,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.7222023,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
1737325495.743066,practice,1,Retract,400,0.005,diag,-2.95,0.0,1.5,0.0,0.0,0.0,1.0
